"date","project","chain","address","type","impl_address","ProxyContractName","ProxyCompilerVersion","patches","prevVersions","in_scope"
"12/12/2023","thegraph","arbiscan.io","0x971B9d3d0Ae3ECa029CAB5eA1fB0F72c85e6a525","impl_proxy","0x5912afc5e0f430b0f84b792e9c7cc892b4be6bdb","RewardsManager","v0.7.6+commit.7338295f",,"0","True"
"12/12/2023","thegraph","arbiscan.io","0x0Ab2B043138352413Bb02e67E626a70320E3BD46","impl_proxy","0xe55b996eb7bfc3175e883d02ff55a34f8c9986e","DisputeManager","v0.7.6+commit.7338295f",,"0","False"
"12/12/2023","thegraph","arbiscan.io","0x65E1a5e8946e7E87d9774f5288f41c30a99fD302","impl_proxy","0x6f37b2af8a0cc74f1bfddf2e9302cb226710127f","L2GraphTokenGateway","v0.7.6+commit.7338295f",,"0","True"
"12/12/2023","optimism","etherscan.io","0x229047fed2591dbec1eF1118d64F7aF3dB9EB290","impl_proxy","0x5efa852e92800d1c982711761e45c3fe39a2b6d8","SystemConfig","v0.8.15+commit.e14f2714",,"0","False"
"12/12/2023","optimism","etherscan.io","0xdfe97868233d1aa22e815a266982f2cf17685a27","impl_proxy","0xd2e67b6a032f0a9b1f569e63ad6c38f7342c2e00","L2OutputOracle","v0.8.15+commit.e14f2714",,"0","False"
"12/12/2023","optimism","etherscan.io","0xbEb5Fc579115071764c7423A4f12eDde41f106Ed","impl_proxy","0x28a55488fef40005309e2da0040dbe9d300a64ab","OptimismPortal","v0.8.15+commit.e14f2714",,"0","False"
"12/12/2023","optimism","etherscan.io","0x5a7749f83b81B301cAb5f48EB8516B986DAef23D","impl_proxy","0x3268ed09f76e619331528270b6267d4d2c5ab5c2","L1ERC721Bridge","v0.8.15+commit.e14f2714",,"0","False"
"12/12/2023","optimism","etherscan.io","0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1","impl_proxy","0xbfb731cd36d26c2a7287716de857e4380c73a64a","L1StandardBridge","v0.8.15+commit.e14f2714",,"0","False"
"12/12/2023","optimism","etherscan.io","0x75505a97BD334E7BD3C476893285569C4136Fa0F","impl_proxy","0xae849efa4bcfc419593420e14707996936e365e2","OptimismMintableERC20Factory","v0.8.15+commit.e14f2714",,"0","False"
"12/12/2023","rhinofi","etherscan.io","0x1264f802364E0776b9A9e3d161B43c7333aC08b2","impl_proxy","0x9205d39ddee10cc23dcbcb936be65d664c8a31d1","UniswapV2Factory","v0.8.4+commit.c7e474f2",,"0","True"
