"id","project","date","maximum_reward","bounty_url","lastUpdated","github_history_url","default_branch","extensions_modified_3_days","files","silther_comments","github_url","commit_messages","languages"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-09-17","github.com/makerdao/clipper-mom/commits","master","{}","","","github.com/makerdao/clipper-mom","<pre></pre>"," 96.4 - Solidity<br> 1.95 - Nix<br> 1.65 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2022-04-08","github.com/makerdao/dsr-manager/commits","master","{}","","","github.com/makerdao/dsr-manager","<pre></pre>"," 95.92 - Solidity<br> 2.99 - Nix<br> 1.09 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-01-23","github.com/makerdao/dss-exec-lib/commits","master","{}","","","github.com/makerdao/dss-exec-lib","<pre></pre>"," 99.51 - Solidity<br> 0.32 - Shell<br> 0.17 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-26","github.com/makerdao/dss-flappers/commits","master","{}","","","github.com/makerdao/dss-flappers","<pre></pre>"," 100 - Solidity"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-03-07","github.com/makerdao/dss-flash/commits","master","{}","","","github.com/makerdao/dss-flash","<pre></pre>"," 97.6 - Solidity<br> 1.45 - Makefile<br> 0.95 - Nix"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-03-07","github.com/makerdao/ilk-registry/commits","master","{}","","","github.com/makerdao/ilk-registry","<pre></pre>"," 79.09 - Solidity<br> 19.58 - Shell<br> 0.69 - Makefile<br> 0.64 - Nix"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-03-12","github.com/makerdao/line-mom/commits","master","{}","","","github.com/makerdao/line-mom","<pre></pre>"," 98.24 - Solidity<br> 1.76 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-06-29","github.com/makerdao/dss-interfaces/commits","master","{}","","","github.com/makerdao/dss-interfaces","<pre></pre>"," 100 - Solidity"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-03-09","github.com/makerdao/dss-vest/commits","master","{}","","","github.com/makerdao/dss-vest","<pre></pre>"," 59.39 - Solidity<br> 39.17 - Ruby<br> 0.76 - Shell<br> 0.69 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2022-11-08","github.com/makerdao/dss-gem-joins/commits","master","{}","","","github.com/makerdao/dss-gem-joins","<pre></pre>"," 99.7 - Solidity<br> 0.22 - Nix<br> 0.08 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-12-06","github.com/makerdao/dss-psm/commits","master","{}","","","github.com/makerdao/dss-psm","<pre></pre>"," 95.68 - Solidity<br> 4.14 - Shell<br> 0.18 - Makefile"
